iter	Logloss
0	0.619062798
1	0.5531541023
2	0.4997102829
3	0.4614002409
4	0.4282612326
5	0.4035962501
6	0.3687321334
7	0.3530418288
8	0.3368883256
9	0.3266223694
10	0.3155070812
11	0.3012415181
12	0.2939447792
13	0.2871187087
14	0.2805535454
15	0.2743349503
16	0.2706663255
17	0.2676160939
18	0.2631587394
19	0.2605751675
20	0.258350134
21	0.2563464042
22	0.2525893347
23	0.2507216491
24	0.2489269143
25	0.2472899758
26	0.2443906877
27	0.2429166003
28	0.241703655
29	0.2405849123
30	0.239227651
31	0.2372805392
32	0.2362624721
33	0.2353775186
34	0.2343046124
35	0.2333295533
36	0.2323425951
37	0.2315465052
38	0.2307124314
39	0.2294231993
40	0.2285304849
41	0.2276380121
42	0.2266120259
43	0.2259763522
44	0.2252947142
45	0.224711654
46	0.2238426567
47	0.2231295159
48	0.2223332178
49	0.2217099299
50	0.2211773815
51	0.220668164
52	0.2199600524
53	0.2193612781
54	0.2187660092
55	0.2182131369
56	0.2172334522
57	0.2168000223
58	0.2163041194
59	0.2140815621
60	0.2136890679
61	0.2130757039
62	0.2126480268
63	0.2121102563
64	0.2116711416
65	0.2112868072
66	0.2108896234
67	0.2102993554
68	0.2099300921
69	0.2095908346
70	0.2091140179
71	0.2085808048
72	0.2081047281
73	0.207628779
74	0.2072811713
75	0.2069835593
76	0.2066992197
77	0.2062425119
78	0.2058655665
79	0.2054525396
80	0.2048016398
81	0.2044687052
82	0.2040365699
83	0.2037585438
84	0.2033709546
85	0.2030692427
86	0.202843155
87	0.2024466736
88	0.2021112175
89	0.201801069
90	0.2013905364
91	0.2011093224
92	0.2007907304
93	0.2005574564
94	0.2002305704
95	0.1999924092
96	0.1996182892
97	0.199266494
98	0.1989187626
99	0.198653456
100	0.1983055405
101	0.1980873682
102	0.197902062
103	0.1975643889
104	0.1971521213
105	0.1962946341
106	0.1960221669
107	0.1957301295
108	0.195440748
109	0.1951516714
110	0.1947853242
111	0.1943886698
112	0.1940955022
113	0.1939106385
114	0.193748575
115	0.1934939317
116	0.1932474413
117	0.1928917592
118	0.1925775339
119	0.1922743418
120	0.1920121808
121	0.1918168248
122	0.1916164608
123	0.1914394972
124	0.1911976436
125	0.1909440995
126	0.1905194938
127	0.1902389153
128	0.1900336566
129	0.1896783336
130	0.1894124919
131	0.1892326763
132	0.1889593188
133	0.1881661339
134	0.1878015324
135	0.1875248397
136	0.1871331712
137	0.186971839
138	0.1867979636
139	0.1865763788
140	0.1862140799
141	0.1859327863
142	0.1857190274
143	0.1854353508
144	0.185223527
145	0.185020932
146	0.1848226311
147	0.1845384018
148	0.1841650398
149	0.1839462497
150	0.1836904179
151	0.1834513788
152	0.1832378507
153	0.1827074004
154	0.1824427718
155	0.1822042469
156	0.1818812964
157	0.1816379164
158	0.1814196668
159	0.1811966717
160	0.180924543
161	0.180682633
162	0.1804195712
163	0.1800402327
164	0.1797372039
165	0.179383526
166	0.1790060847
167	0.1787846348
168	0.178505678
169	0.1783404426
170	0.1781377384
171	0.1779256743
172	0.1776807276
173	0.1773298823
174	0.1771496193
175	0.1768749595
176	0.1765747755
177	0.1763262093
178	0.1759476763
179	0.1757121779
