iter	Passed	Remaining
0	70	70030
1	138	69344
2	201	66799
3	267	66638
4	324	64499
5	383	63574
6	435	61798
7	496	61564
8	551	60735
9	606	60080
10	665	59863
11	730	60180
12	785	59636
13	848	59756
14	905	59484
15	956	58842
16	1006	58189
17	1055	57566
18	1117	57707
19	1172	57459
20	1221	56939
21	1280	56913
22	1328	56437
23	1379	56109
24	1425	55590
25	1468	55005
26	1517	54672
27	1557	54060
28	1598	53512
29	1635	52878
30	1675	52384
31	1726	52235
32	1767	51795
33	1811	51473
34	1847	50950
35	1883	50429
36	1922	50035
37	1963	49709
38	2002	49354
39	2046	49127
40	2094	48995
41	2133	48670
42	2173	48378
43	2211	48044
44	2251	47789
45	2287	47433
46	2323	47109
47	2359	46801
48	2398	46555
49	2438	46325
50	2481	46175
51	2517	45887
52	2563	45802
53	2606	45657
54	2647	45483
55	2686	45281
56	2731	45196
57	2769	44987
58	2810	44829
59	2857	44766
60	2901	44656
61	2943	44525
62	2984	44382
63	3019	44162
64	3057	43987
65	3094	43791
66	3134	43647
67	3176	43532
68	3211	43334
69	3255	43254
70	3290	43048
71	3326	42874
72	3359	42656
73	3403	42583
74	3437	42391
75	3472	42220
76	3513	42113
77	3557	42047
78	3602	42000
79	3641	41878
80	3689	41856
81	3724	41697
82	3760	41544
83	3791	41341
84	3828	41209
85	3868	41111
86	3905	40981
87	3945	40891
88	3988	40831
89	4024	40688
90	4071	40668
91	4106	40532
92	4144	40421
93	4184	40334
94	4225	40257
95	4263	40147
96	4302	40053
97	4337	39918
98	4374	39807
99	4411	39706
100	4450	39609
101	4485	39490
102	4516	39333
103	4552	39224
104	4588	39114
105	4630	39051
106	4669	38968
107	4704	38852
108	4741	38755
109	4778	38664
110	4811	38533
111	4849	38449
112	4889	38383
113	4926	38289
114	4960	38177
115	5008	38168
116	5052	38131
117	5089	38040
118	5127	37961
119	5167	37894
120	5205	37812
121	5236	37684
122	5271	37589
123	5307	37493
124	5344	37408
125	5375	37289
126	5412	37208
127	5447	37110
128	5487	37054
129	5530	37012
130	5571	36957
131	5603	36847
132	5642	36781
133	5678	36696
134	5714	36613
135	5746	36509
136	5781	36419
137	5817	36339
138	5850	36241
139	5888	36171
140	5928	36115
141	5966	36052
142	5998	35950
143	6036	35886
144	6073	35810
145	6109	35738
146	6146	35666
147	6184	35603
148	6225	35556
149	6259	35467
150	6295	35399
151	6332	35329
152	6369	35261
153	6407	35200
154	6447	35151
155	6488	35106
156	6526	35045
157	6564	34982
158	6600	34910
159	6635	34838
160	6676	34793
161	6712	34720
162	6753	34681
163	6790	34617
164	6833	34582
165	6867	34502
166	6904	34442
167	6935	34347
168	6971	34279
169	7011	34232
170	7046	34162
171	7086	34115
172	7121	34043
173	7155	33969
174	7190	33899
175	7227	33838
176	7272	33815
177	7303	33727
178	7343	33682
179	7380	33620
180	7417	33560
181	7449	33479
182	7485	33418
183	7523	33363
184	7559	33302
185	7596	33247
186	7637	33203
187	7672	33137
188	7711	33090
189	7747	33029
190	7796	33021
191	7833	32964
192	7877	32938
193	7918	32897
194	7958	32854
195	7999	32815
196	8037	32761
197	8073	32702
198	8111	32648
199	8143	32573
200	8176	32500
201	8213	32447
202	8248	32384
203	8292	32355
204	8326	32290
205	8364	32240
206	8405	32199
207	8447	32166
208	8486	32117
209	8532	32096
210	8564	32025
211	8600	31967
212	8637	31914
213	8678	31875
214	8717	31830
215	8757	31784
216	8800	31755
217	8842	31719
218	8882	31675
219	8920	31628
220	8964	31598
221	8998	31533
222	9044	31513
223	9078	31450
224	9113	31391
225	9151	31340
226	9188	31288
227	9226	31241
228	9259	31173
229	9290	31102
230	9327	31049
231	9373	31030
232	9419	31005
233	9459	30965
234	9501	30929
235	9534	30867
236	9576	30832
237	9620	30801
238	9655	30744
239	9695	30703
240	9732	30650
241	9770	30603
242	9801	30535
243	9838	30483
244	9875	30432
245	9911	30378
246	9948	30330
247	9985	30279
248	10023	30232
249	10061	30183
250	10100	30139
251	10142	30105
252	10177	30049
253	10215	30003
254	10258	29971
255	10289	29904
256	10326	29853
257	10366	29814
258	10400	29755
259	10437	29708
260	10474	29657
261	10513	29615
262	10548	29558
263	10591	29528
264	10633	29492
265	10676	29459
266	10714	29414
267	10755	29377
268	10791	29326
269	10827	29273
270	10862	29220
271	10905	29187
272	10946	29149
273	10986	29110
274	11025	29067
275	11067	29032
276	11111	29001
277	11171	29012
278	11239	29044
279	11284	29016
280	11323	28974
281	11367	28941
282	11406	28899
283	11440	28843
284	11476	28792
285	11508	28730
286	11551	28697
287	11595	28667
288	11628	28607
289	11671	28574
290	11707	28524
291	11743	28474
292	11787	28442
293	11824	28395
294	11864	28354
295	11901	28307
296	11941	28265
297	11983	28229
298	12027	28198
299	12065	28151
300	12104	28109
301	12140	28058
302	12182	28023
303	12219	27976
304	12253	27921
305	12288	27870
306	12330	27834
307	12385	27826
308	12425	27785
309	12472	27762
310	12508	27711
311	12551	27678
312	12598	27653
313	12646	27627
314	12685	27586
315	12716	27526
316	12753	27478
317	12785	27419
318	12820	27369
319	12864	27336
320	12903	27294
321	12944	27255
322	12989	27225
323	13030	27187
324	13067	27141
325	13119	27124
326	13163	27092
327	13199	27043
328	13243	27011
329	13278	26959
330	13310	26902
331	13351	26863
332	13391	26822
333	13429	26778
334	13468	26735
335	13508	26696
336	13547	26652
337	13581	26600
338	13619	26556
339	13663	26524
340	13711	26497
341	13747	26449
342	13789	26412
343	13827	26368
344	13867	26328
345	13902	26278
346	13946	26244
347	13981	26194
348	14017	26147
349	14061	26115
350	14097	26065
351	14136	26023
352	14175	25982
353	14215	25942
354	14256	25901
355	14296	25861
356	14332	25814
357	14372	25774
358	14413	25736
359	14448	25686
360	14479	25630
361	14513	25579
362	14555	25541
363	14592	25496
364	14631	25454
365	14665	25403
366	14699	25353
367	14736	25308
368	14781	25276
369	14820	25234
370	14855	25186
371	14895	25146
372	14933	25102
373	14969	25056
374	15006	25010
375	15041	24963
376	15077	24916
377	15122	24884
378	15156	24834
379	15197	24796
380	15230	24743
381	15263	24693
382	15299	24647
383	15332	24595
384	15369	24551
385	15413	24518
386	15447	24467
387	15490	24434
388	15525	24386
389	15557	24333
390	15596	24292
391	15641	24260
392	15680	24218
393	15724	24184
394	15770	24154
395	15806	24108
396	15842	24062
397	15877	24015
398	15914	23971
399	15958	23938
400	15992	23888
401	16032	23849
402	16069	23805
403	16103	23757
404	16139	23711
405	16174	23663
406	16212	23621
407	16252	23582
408	16282	23528
409	16323	23490
410	16359	23444
411	16400	23407
412	16444	23372
413	16478	23324
414	16519	23286
415	16559	23247
416	16593	23199
417	16631	23157
418	16667	23111
419	16710	23076
420	16749	23035
421	16786	22992
422	16821	22946
423	16856	22899
424	16899	22863
425	16933	22817
426	16975	22779
427	17014	22738
428	17046	22689
429	17093	22658
430	17123	22605
431	17165	22569
432	17202	22526
433	17241	22485
434	17272	22434
435	17305	22385
436	17339	22338
437	17378	22298
438	17415	22255
439	17448	22206
440	17482	22160
441	17518	22116
442	17555	22073
443	17587	22024
444	17622	21978
445	17662	21938
446	17721	21923
447	17767	21892
448	17808	21854
449	17846	21812
450	17878	21763
451	17911	21715
452	17950	21675
453	17989	21634
454	18031	21598
455	18068	21554
456	18105	21512
457	18138	21465
458	18172	21419
459	18210	21377
460	18252	21341
461	18288	21297
462	18325	21254
463	18363	21212
464	18404	21174
465	18443	21134
466	18480	21092
467	18516	21048
468	18558	21012
469	18592	20966
470	18629	20923
471	18670	20885
472	18708	20844
473	18743	20799
474	18778	20755
475	18810	20707
476	18847	20664
477	18888	20626
478	18923	20582
479	18962	20542
480	19000	20501
481	19034	20455
482	19079	20422
483	19122	20386
484	19167	20352
485	19219	20326
486	19256	20284
487	19290	20239
488	19328	20197
489	19368	20158
490	19399	20110
491	19439	20071
492	19477	20030
493	19515	19989
494	19558	19953
495	19598	19914
496	19633	19870
497	19672	19830
498	19705	19784
499	19742	19742
500	19773	19694
501	19807	19650
502	19839	19603
503	19874	19559
504	19909	19515
505	19949	19476
506	19980	19428
507	20014	19383
508	20048	19339
509	20082	19294
510	20118	19252
511	20151	19206
512	20187	19164
513	20226	19124
514	20266	19085
515	20304	19045
516	20344	19006
517	20378	18962
518	20416	18922
519	20455	18882
520	20494	18842
521	20526	18796
522	20563	18755
523	20598	18711
524	20635	18669
525	20670	18627
526	20707	18585
527	20748	18547
528	20792	18512
529	20824	18466
530	20874	18437
531	20907	18392
532	20945	18351
533	20982	18310
534	21018	18268
535	21061	18232
536	21101	18193
537	21139	18153
538	21179	18114
539	21212	18070
540	21255	18034
541	21288	17989
542	21325	17948
543	21366	17909
544	21405	17870
545	21441	17828
546	21483	17791
547	21521	17751
548	21555	17707
549	21596	17670
550	21635	17630
551	21673	17590
552	21706	17545
553	21741	17503
554	21768	17454
555	21805	17412
556	21840	17370
557	21881	17333
558	21917	17291
559	21954	17250
560	21988	17206
561	22028	17167
562	22070	17130
563	22107	17090
564	22148	17052
565	22184	17010
566	22224	16972
567	22257	16928
568	22292	16885
569	22321	16839
570	22354	16795
571	22387	16751
572	22423	16709
573	22465	16672
574	22501	16631
575	22537	16590
576	22570	16546
577	22604	16503
578	22642	16463
579	22686	16427
